"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"44",2,4,2,3,6,2,6,5,5,5,1,5,5,6,4,3,5,5,4,3,1,6,5,5
"45",6,1,3,4,6,5,6,3,5,1,4,2,6,1,2,5,3,2,2,5,3,5,4,2
"46",2,2,3,5,2,3,2,3,1,4,2,5,3,2,2,6,5,4,1,1,1,2,6,2
"47",6,2,4,6,4,4,3,4,1,6,5,6,6,1,4,3,1,3,6,4,1,3,3,1
"48",5,2,2,3,1,2,4,4,4,3,1,2,2,4,4,2,1,1,1,1,4,5,6,6
"49",6,6,1,4,5,5,2,1,1,6,2,3,4,5,6,3,5,2,2,2,4,3,5,3
"50",1,1,1,3,3,1,5,6,4,3,3,6,4,2,2,2,1,5,4,5,3,2,2,1
"51",5,5,5,3,6,6,2,2,2,4,6,2,2,2,5,6,4,1,5,4,3,6,3,5
"52",1,4,5,4,5,4,1,4,3,4,3,4,5,6,3,6,1,1,1,6,6,5,2,2
"53",3,1,6,2,5,3,5,6,2,5,4,3,2,1,6,4,6,1,1,3,4,4,4,1
"54",1,2,3,4,4,1,4,1,2,5,5,1,1,4,5,1,2,4,3,6,2,6,5,3
"55",1,6,4,1,1,3,6,2,4,6,6,2,4,2,3,6,3,5,3,2,5,6,4,3
"56",3,4,1,3,2,4,3,5,1,1,5,2,6,5,3,1,5,6,3,4,5,6,6,2
"57",3,1,1,6,3,2,2,1,5,6,2,1,5,4,1,5,2,3,5,3,6,4,3,3
"58",6,1,3,3,4,6,3,6,4,1,1,4,6,4,4,6,6,4,3,2,5,2,1,5
"59",1,6,1,3,3,5,5,3,1,1,1,5,2,5,3,6,3,2,6,4,1,4,4,4
"60",4,1,5,6,1,4,3,2,1,3,1,5,5,2,6,4,3,6,4,6,4,5,4,6
